B.TECH FOOD CORNER
 Bill Number: 8051
 Customer Name: 
 Phone Number: 
 E-mail: 
====================================================================================
Food Items                              Plate(s)                         Price(Rs)
====================================================================================

Aloo tikki burger                          1                                    60
Aloo tikki burger                          1                                    60
Aloo tikki burger                          1                                    60
Cheese burger                              1                                   100
Cheese burger                              1                                   100
Cheese pizza                               1                                    60
Cheese pizza                               1                                    60
Cheese pizza                               1                                   100
Cheese pizza                               1                                   100
