			B.Tech Food Corner
 Bill Number: 8184
 Customer Name: 
 Phone Number: 
 E-mail: 
Food Items                              Quantity/Plate                                Price

Aloo tikki burger                             1                                           60
Aloo tikki burger                             1                                           60
Aloo tikki burger                             1                                           60
Aloo tikki burger                             1                                           60
Cheese burger                                 1                                          100
Cheese burger                                 1                                          100
Cheese burger                                 1                                          100
Cheese burger                                 1                                          100
Cheese burger                                 1                                          100
Cheese burger                                 1                                          100
Cheese burger                                 1                                          100
